mid,standard_question,standard_answer
402,The present value of a 10-year annuity-immediate with a first payment of 4130 and decreasing by 413 each year thereafter is \( X \) .Assuming an annual effective interest rate of \( {10}\% \) .Calculate \( X \).(The final answer must be an integer),15923
403,"For a health insurance portfolio, you are given:

i. For each individual enrollee, the number of visits follows a Poisson distribution.

ii. The mean visit count varies by enrollee, and the distribution of mean visit counts follows a gamma distribution with unknown parameters.

iii. For a random sample of 1,000 enrollees, the observed visit counts are as follows:

| Number Of Visits, n : | 0    | 1    | 2    | 3    | 4    | 5    |
|------------------------|------|------|------|------|------|------|
| Number Of Enrollees, f<sub>n</sub> : | 512  | 307  | 123  | 41   | 11   | 6    |

$\sum n f_{n} = 750$

$\sum n^{2} f_{n} = 1494$

Use the observed data to calculate the empirical mean and variance of the number of visits per enrollee.

iv. Visit costs follow a Pareto distribution with shape parameter $\alpha = 3$ and scale parameter $\theta = 3,000$, resulting in a mean of 1,500 and variance of 6,750,000.

v. Visit counts and visit costs are independent.

vi. The full credibility standard is to be within 5% of the expected aggregate cost 95% of the time.

Determine the minimum number of enrollees needed for the aggregate cost to be fully credible.(The result is retained as an integer)",8694
404,"投保一份完全离散的 15 年期两全险，第 \( k \) 年的死亡年末给付为 \( b_k = \) \( 16 - k \)（\( k = 1,2,\cdots,15 \)），期末生存给付为 1，每年年初所缴净均衡保费为 \( P \)。已知 \( {}_{10}V_{50:\overline{15}|} = 4.512 \)，\( {}_{14}V_{50:\overline{15}|} = 0.6 \)，\( q_{60} = 0.1 \)，\( i = 0.025 \)，计算 \( {}_{11}V_{50:\overline{15}|} \)。（结果保留2位小数）",5.01
405,某保险公司的短期医疗险保单规定，若被保险人在一个月内发生医疗费用，保险公司将在月底支付相应费用。已知当前决策者的效用函数为 \( u(w) = \sqrt{w} \)，当前财富为9元，可通过支付5元保费来转移风险。未来给付额度分别为0元、24元、42元（月末支付，月利率100%），对应概率为 \(1-p-p^2\)、\(p\)、\(p^2\)。求概率参数 \( p \) 的值。（结果保留3位小数）,0.333
406,"A 10-year 1,000 par value bond with 8 percent annual coupons has an annual effective yield of \( i,i > 0 \). The book value of the bond at the end of year 3 is 1,099.84 and the book value at the end of year 5 is 1,082.27. The book values are calculated using the amortized cost method.
Calculate the purchase price of the bond.(The final answer should have 2 decimal places)",1122.38
407,"For a fully discrete whole life insurance policy issued to a group of employees aged 53 with a death benefit of 1000, you are given: 
(i) \( i = 0.06 \) 
(ii) \({\ddot{a}}_{55} = 12.88785\) 
(iii) \({A}_{54:\overline{1}|}^1 = 0.00606\) 
(iv) The FPT reserve calculation assumes future premiums are based on the net premium at the initial age. 
Calculate the FPT reserve at the end of year 2 (when the insured is aged 55).(The final answer should have 2 decimal places)",14.71
408,某人现在投资 1000 元，第四年末再投资 2137.05 元，10 年后积累到 5000 元，求每半年计息一次的年名义利率。（结果保留4位小数）,0.0641
409,"For a 1-year European call option on the USD/JPY exchange rate:
(i) The exchange rate follows the Black-Scholes assumptions.
(ii) The annual volatility of the exchange rate is 0.3.
(iii) The continuously compounded risk-free interest rate for JPY is 0.02.
(iv) The continuously compounded risk-free interest rate for USD is 0.08.
(v) The current spot exchange rate is 100 JPY per USD.
(vi) The strike price of the call option is 105 JPY per USD.

Each call option's premium is denominated in yen. Calculate the total dollar cost of purchasing 100 such yen-denominated call options.(The final answer should have 2 decimal places)",7.09
410,"For a special single premium 2-year endowment insurance on (y), you are given:
(i) Death benefits, payable at the end of the year of death, are:
\[b_1 = 3000\]
\[b_2 = 2000\]
(ii) The maturity benefit is 1000.
(iii) Expenses, payable at the beginning of the year:
(a) Taxes and commissions are 5% of the gross single premium.
(b) Other expenses are 15 at policy inception and 2 at the beginning of the second year.
(iv) \(i = 0.04\)
(v) \(p_y = 0.9\); \(p_{y+1} = 0.8\).
Calculate the single gross premium using the equivalence principle.(The final answer should have 2 decimal places)",1372.33
411,"假设某健康保险公司有两份团体医疗保单，这两份保单的风险特征不同。前四年各份保单的逐年医疗赔款次数的记录如表所示。

| 保单 | 年份1 | 年份2 | 年份3 | 年份4 |
| :----- | :---- | :---- | :---- | :---- |
| 第一份 | 7 | 13 | 10 | 10 |
| 第二份 | 14 | 18 | 16 | 16 |

试用Bühlmann方法估计两份保单在未来一年的医疗赔款次数。假设每次赔款的平均赔款额为 1 千元，则第一份保单的信度保费为多少？
（结果保留1位小数）",10180.6
412,一个房地产投资信托从1995年3月1日起，至2005年2月28日止，每月初支付租金收益100元给投资者，共支付120次。假设年实际利率为5%，且为确定型现金流，求所有租金收益在1990年3月1日的现值。（结果保留2位小数）,7455.40
413,"You are given the following information from a mortality study that begins with 80 lives age 50. Each $j$ corresponds to the age interval $[50+j,51+j)$. Assume entries and withdrawals are uniformly distributed within each age interval.

| $j$ | Age | $n_{j}$ | $w_{j}$ | $d_{j}$ |
| :---: | :---: | ---: | ---: | :---: |
| 0 | 50 | 3 | 2 | 6 |
| 1 | 51 | 8 | 8 | 3 |
| 2 | 52 | 4 | 2 | 4 |

Calculate the actuarial estimate of the probability of survival of an individual age 50 to age 53.(The final answer should have 4 decimal places)",0.8398
414,"A 20-year arithmetically increasing lease contract requires annual payments starting immediately. The initial payment is \( X \), and each subsequent payment increases by \( X \) annually. The present value of this lease is 600,000 using a continuously compounded annual interest rate of \( 6\% \).

A separate 25-year arithmetically increasing lease contract has the same payment structure: initial payment \( X \), increasing by \( X \) each year. Calculate the present value of this 25-year lease using the same interest rate.(The final answer must be an integer)",779366
415,"发行1000股债券，每股面值100元，年票息率为1.5%，票息逐年支付，其赎回情况如下：
?(1)250股30年末以108元/股赎回；
?(2)250股40年末以122元/股赎回；
?(3)250股50年末以131元/股赎回；
?(4)250股60年末以139元/股赎回；
若投资人要求的年收益率为2.5%， 则这1000股债券的发行总价为多少元？（结果保留整数）",81147
416,为30岁群体设立一个30年确定给付养老金计划，已知趸缴精算负债为10000，\( {\bar{A}}_{{30} : \overline{30|}} = {0.3} \)（此处A代表养老金负债现值），利率 \( i = {0.05} \)，员工30年生存概率为0.86。若采用30年期每年年初缴纳 \( K \) 元的方式筹资，则 \( K \)的值是多少？（结果保留整数）,678
417,"For a pension scheme covering 200 retired members aged exactly 65, you are given: 
(i) The future lifetimes are independent. 
(ii) Each retiree is granted an annual pension of 625 payable at the beginning of each year, if surviving. 
(iii) \( A_{65} = 0.369131 \) 
(iv) \( {}^2 A_{65} = 0.1774113 \) 
(v) \( i = 0.06 \). 
Using the normal approximation, determine the minimum initial fund required to ensure 90% certainty that the scheme can meet all pension obligations.(The final answer should be rounded to 3 decimal places)",1433779.847
418,"For a homeowners insurance portfolio, claim counts follow a Poisson distribution. One year of experience from 50 policyholders is

<table><tr><td>Number of Claims</td><td>Number of Policyholders</td></tr><tr><td>0</td><td>44</td></tr><tr><td>1</td><td>4</td></tr><tr><td>2</td><td>2</td></tr></table>

You are to use empirical Bayes semi-parametric methods to determine credibility.
Determine the number of claims predicted in the second year for a policyholder with one claim in the first year.(The final answer should have 4 decimal places)",0.3857
419,"You are given the following information about an investment account:
(i) The value on January 1 is 10.
(ii) The value on July 1 (exactly 6 months later), prior to any deposit, is 12.
(iii) On July 1, a deposit of $X$ is made.
(iv) The final account value on January 1 of the following year is $X$.
(v) The total investment period is exactly one year.

Over the year, the time-weighted return is 0%, and the dollar-weighted (money-weighted) return is Y.
Calculate Y.(The final answer should have 2 decimal places)",-0.25
420,"\({X}_{1},{X}_{2}\) and \({X}_{3}\) have exponential distributions with parameters \(θ\) (mean parameters) equal to 1, 2, and 3, respectively. The probability density function for each is \(f(x) = \frac{1}{θ}e^{-x/θ}\) for \(x \geq 0\). A mixture of these distributions is created with cdf \({F}_{Y}\left( y\right) = \frac{1}{3} \times \mathop{\sum }\limits_{{i = 1}}^{3}{F}_{{X}_{i}}\left( y\right)\). Calculate \(E\left\lbrack {Y}^{2}\right\rbrack\).(The final answer should have 3 decimal places)",9.333
421,"对于复合泊松盈余过程U(t)，已知破产概率为
\(Ψ(u)=0.3e^{-5u}+0.2e^{-3u}+0.2e^{-u} \quad (u≥0)\)，
设N为破产前盈余首次低于初始资本u时的新低点次数。根据Gerber-Shiu罚函数理论，N服从参数为Ψ(0)的几何分布，求P(N=1)+Ψ(0)。（结果保留2位小数）",0.91
422,"A member of a defined benefit pension plan aged exactly 62 on January 1, 2015 has an annual salary rate of 100,000 on that date. 
Salaries are adjusted annually on December 31, effective for the following calendar year. The salary rate for the year of age $x$ to $x+1$ is $s_x$. Future salaries are projected using the salary scale: 

| $x$ | $s_{x}$ |
| :---: | :---: |
| 62 | 3.589 |
| 63 | 3.643 |
| 64 | 3.698 |
| 65 | 3.751 |

The multiple decrement table models exits from active membership: 
(i) $d_{x}^{(1)}$ = retirements due to plan rules; (ii) $d_{x}^{(2)}$ = deaths while actively contributing; (iii) All members remaining at age 65 retire at the end of that year, with no deaths thereafter. 

| $x$ | $l_{x}$ | $d_{x}^{(1)}$ | $d_{x}^{(2)}$ |
| :---: | :---: | :---: | :---: |
| 62 | 52,860 | 5,068 | 213 |
| 63 | 47,579 | 4,560 | 214 |
| 64 | 42,805 | 4,102 | 215 |
| 65 | 38,488 | 38,488 | - |

The insurance provides 4 times the salary rate applicable in the year of death if death occurs while actively contributing and prior to age 65. Benefits are payable at the moment of death, with deaths assumed to occur at mid-year. The annual effective interest rate is 5%. Calculate the actuarial present value of the death benefit.(The final answer should have 2 decimal places)",4584.55
423,"已知 \(\bar{a}_{x} = \mathbf{15}\), \(^2\bar{A}_{x} = \mathbf{0.5075}\)。\(\operatorname{Var}\left( \bar{a}_{\overline{T}|} \right) = 50\)，则精算现值 \(\bar{A}_{x}\)等于多少？（结果保留3位小数）",0.698
424,票面值为 1000 元的三年期债券，半年期的息票率为 4%，半年期的收益率为 \(3.3\%\)。投资者可用的偿债基金的半年期收益率为 2.5%。求债券的价格为多少元。（结果保留2位小数）,1036.93
425,"设某保险人经营货物运输保险，对过去发生的1000次理赔记录分析，平均赔款额为2200元。按赔款额分为6档，各档记录次数如下： 

| 赔款额(元) | 0~1000 | 1000~2000 | 2000~3000 | 3000~4000 | 4000~5000 | 5000以上 | 
|-------------|--------|-----------|-----------|-----------|-----------|----------| 
| 次数        | 200    | 300      | 250      | 150      | 100      | 0        | 

现用$χ^2$检验验证赔款额服从参数为1/2200的指数分布（计算理论频数时保持最后区间开放），置信水平99.5%。求该检验的临界值。（结果保留2位小数）",14.86
426,"某人购买一个30年定期年金，趸交保费为100,000元。年金支付从第1年末开始，支付方式如下： 
(1) 第1年末支付额为x元； 
(2) 从第2年末开始，每年支付额较前一年增加100元，此递增持续至第20年末； 
(3) 第21年末至第30年末保持第20年末的支付额不变； 
(4) 年复利率为5%。 
求x的精确值。（单位：元，结果保留整数）",5505
427,"An insurance policy covers losses incurred by a policyholder, subject to a deductible of 15,000. Incurred losses follow a normal distribution with mean 17,000 and standard deviation $c$. The probability that a loss is less than $k$ is 0.9582, where $k$ is a constant. Given that the loss exceeds the deductible, there is a probability of 0.9500 that it is less than $k$.
Calculate $c$.(The final answer must be an integer)",2045
428,"For two lives age 55, you are given:
(i) Future lifetimes of the two lives are independent.
(ii) Mortality for the two lives follows the Modified Standard Ultimate Life Table (2024) below.
(iii) $i=0.05$.

A whole life insurance pays 1000 at the end of the year of the last death of these two lives.
Let $Z$ be the present value of the insurance.
Calculate $\operatorname{Var}(Z)$.

Modified Standard Ultimate Life Table (2024):
$$
\begin{array}{|c|c|c|c|c|}
\hline
\text{Age } (x) & A_x & A_{x:x} & {^2A_x} & {^2A_{x:x}} \\
\hline
55 & 0.18931 & 0.24669 & 0.05108 & 0.08187 \\
\hline
\end{array}
$$
(The final answer should have 2 decimal places)",2884.48
429,"已知某群体服从恒定死亡力假设，其生存函数为\({}_{t}p_{x} = 0.9^{t}\,(t \geq 0)\)。若\(l_{x+3} = 7.29\)，且总生存年数\(T_{x+1}\)定义为存活个体在x+1岁后的剩余寿命之和，求\(T_{x+1}\)。（结果保留2位小数）",85.42
430,"A pension fund is obligated to provide 15 yearly retirement benefits of $42,000 each, commencing exactly one year from today. To immunize this liability, the fund invests in four-year and ten-year zero-coupon bonds. The annual effective interest rate for all valuations is 6.2%, and the asset portfolio is designed to match both the present value and duration of the liability. Determine the amount allocated to the four-year zero-coupon bonds, rounded to the nearest integer.(The final answer must be an integer)",208556
431,"Consider a fully discrete critical illness insurance policy of 1000 on (50). 
You are given: 
(i) $A_{\textbf{50}}=0.300$ 
(ii) $A_{\textbf{60}}=0.4082$ 
(iii) $1000 q_{\textbf{50}}=7.0$ 
(iv) $i=0.05$ 
(v) $1000 q_{51}=7.5$ 
Calculate the excess at time 10 of the net premium reserve over the FPT reserve.(The final answer should have 2 decimal places)",12.47
432,"A life annuity has a modified duration of 8 and a present value of 114,400 calculated using an annual effective interest rate of 7.0%.

\( E_{MAC} \) is the estimated present value of this annuity at an interest rate of 7.6% using the first-order Macaulay approximation.

\( E_{MOD} \) is the estimated present value of this annuity at an interest rate of 7.6% using the first-order modified approximation.

Calculate \( E_{MAC} - E_{MOD} \).(The final answer must be an integer)",144
433,"For a fully discrete 5-payment 10-year decreasing term insurance on (60), you are given:
(i) $b_{k+1}=1000(10-k), k=0,1,2, \ldots, 9$
(ii) Level net premiums are payable for five years and equal 218.15 each.
(iii) $q_{60+k} = 0.019 + 0.003207k, k=0,1,2, \ldots, 9$
(iv) $i=0.06$.

Calculate the net premium reserve at the end of year 2.(The results are retained to 2 decimal places)",77.66
434,"For a special 5-year deferred whole life annuity-due of 50,000 on (62), provided as part of a catastrophic illness insurance rider in a health-based retirement plan, you are given: 
(i) Level annual net premiums are payable for 5 years 
(ii) A death benefit, payable at the end of the year of death, is provided only over the deferral period and equals the total net premiums paid to date without interest 
(iii) \( {\ddot{a}}_{62} = 7.4137 \) 
(iv) \( {\ddot{a}}_{62 : \overline{\textbf{5}}|} = 4.5000 \) 
(v) \( {A}_{62 : \overline{\textbf{5}}|}^{1} = 0.0550 \) 
(vi) \( \sum_{k=1}^{\textbf{5}} A_{62 : \overline{k}|}^{1} = 0.0300 \). 
Calculate the net premium for this special annuity.(The final answer must be an integer)",34687
435,"In a reliability study on 10 identical electronic components, two components fail at times 5 and 8. One component is removed from the study at time 6 (assume random censoring) and another is removed at time 11. The remaining six components continue to function without failure until time 12, at which time the study concludes. The time unit is in years. 
Estimate the probability of survival (no failure) to time 20 using the Kaplan-Meier product limit estimator with an exponential tail correction. 
(The final answer should have 5 decimal places)",0.67156
436,"In a portfolio of life insurance policies, each policyholder has a probability \( Q \) of death within a year and survives otherwise. \( Q \) varies according to the distribution
\[
F_{Q}(q) = \left\{
\begin{array}{ll}
0 & q \leq 0 \\
3q & 0 < q \leq \frac{1}{4} \\
\frac{1}{2} + q & \frac{1}{4} < q \leq \frac{1}{2} \\
1 & q > \frac{1}{2}
\end{array}
\right.
\]

There are 1000 policyholders with one year of mortality experience. 
Actuary A applies Bühlmann credibility to assign a credibility factor \( Z \) to this experience. Actuary B applies classical credibility to assign a credibility factor \( Z' \), with full credibility assigned if the actual number of deaths is within 10% of the expected number with probability \( p \). It turns out that \( Z = Z' \). Determine \( p \).(The final answer should have 3 decimal places)",0.874
437,"A special three year term insurance on $(x)$ provides the following benefits:
(a) At the end of year 1: 571.43 upon non-accidental death, decrement (1); 2,857.14 upon accidental death, decrement (2).
(b) At the end of year 2: 640 upon non-accidental death, decrement (1); 6,400 upon accidental death, decrement (2).
(c) At the end of year 3: 1,333.33 upon non-accidental death, decrement (1); 4,000 upon accidental death, decrement (2).

You are given:
(i) The probabilities of decrement are:

| $k$ | $q_{x+k}^{(1)}$ | $q_{x+k}^{(2)}$ |
| :--- | :--- | :--- |
| 0 | 0.05 | 0.06 |
| 1 | 0.10 | 0.04 |
| 2 | 0.09 | 0.08 |

(ii) $i=0.05$.
Calculate the annual net premium for this insurance.(The final answer should have 2 decimal places)",291.01
438,某年金产品的生存金给付率为时间 \( t \) 的线性函数，\( t \) 元/年（\( 0 \leq t \leq 20 \)），给付期为 20 年，已知利息强度为 0.05，则该年金给付在 20 年末的终值为多少？（结果保留整数）,287
439,"You are given:
(i) The number of claims has a Poisson distribution.
(ii) Claim sizes have a Pareto distribution with parameters $\theta=1$ and $\alpha=6$.
(iii) The number of claims and claim sizes are independent.
(iv) The observed pure premium should be within $2 \%$ of the expected pure premium $90 \%$ of the time.

Calculate the expected number of claims needed for full credibility.(The final answer must be an integer)",16913
440,"You are given:
(i) $\ddot{a}_{25: \overline{20}\mid}=17$
(ii) $\delta=0.05$
(iii) ${ }_{20} p_{25}=0.8$ (Independent of the force of mortality assumption)
(iv) The function of? force of mortality can be computed using linear interpolation：$\mu(25+t)=0.02+\frac{t}{20}(0.03-0.02),\ 0 \leq t <20$
(v) $\mu(45)=0.03$

Find $\ddot{a}_{25: \overline{20 \mid}}^{(2)}$ by using Woolhouse's formula with three terms.(The final answer should have 4 decimal places)",16.8056
441,"For a life annuity issued to a policyholder aged 40, you are given:
(i) Mortality follows the Standard Ultimate Life Table, and the assumption of a uniform distribution of death over each integral age holds.
(ii) $i=0.05$
(iii) If the policyholder is alive at age $40+x$, where $x=0,1,2, \ldots$, then 1.0282 dollars are payable to the life at time $40+x$.
(iv) If the policyholder is alive at age $40+x$, where $x=0.5,1.5,2.5, \ldots$, then 2.00 dollars are payable to the life at time $40+x$.

Calculate the expected present value of the life annuity.(The final answer should have 2 decimal places)",54.88
442,"An insurance company offers a series of fixed future claim payments on May 1, 2025. Each payment is 100 due on specific dates. The market prices for these payments on May 1, 2025 are as follows:

| Payment Date | Price on May 1, 2025 |
| :--- | :---: |
| Nov. 1, 2025 | 97.60 |
| May 1, 2026 | 95.04 |
| Nov. 1, 2026 | 92.28 |
| May 1, 2027 | 89.16 |
| Nov. 1, 2027 | 85.64 |
| May 1, 2028 | 82.32 |

Determine the implied 6-month forward rate, deferred 2 years, i.e., the forward rate for the period from May 1, 2027 to Nov. 1, 2027. 
(The final answer should have 4 decimal places)",0.0839
443,"An insurer issues a variable annuity contract with a guaranteed minimum death benefit of 100,000 and an annual premium of 50,000. 
You are given: 

| Contract Year | Percent of Premium Charge | Annual Expense Charge | COI Rate per 1 of Insurance | Annual Discount Rate for COI | Annual Credited Interest Rate | Corridor Factor | 
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | 
| 1 | 20% | 75 | 0.025 | 4.5% | 6.50% | 1.5 | 
| 2 | 8% | 75 | 0.025 | 4.5% | 5.75% | 1.4 | 

Additional Rules: 
- If the ratio of Death Benefit to Account Value is less than the Corridor Factor, the COI base is adjusted to (Corridor Factor × Account Value - Account Value). 

The contract holder surrenders the contract at the end of the second year, when she is age 60. There is no surrender charge. She uses the surrender value as a net single premium to purchase a special last-survivor life annuity-due with her husband, who is 10 years older than her (i.e., age 70). 

This annuity provides the following payments at the beginning of each quarter: 
- For the first ten years, a guaranteed payment of $Q$ 
- After the first ten years, a payment of $Q$ if she is alive 
- After the first ten years, a payment of $0.6 Q$ if she is dead, but her husband is alive. 

You are given that the net single premium and reserves for this annuity are calculated based on the following information and assumptions. 
(i) The future lifetimes of the couple are independent. 
(ii) Mortality follows the Standard Ultimate Life Table. 
(iii) $i=0.05$ 
(iv) The two-term Woolhouse formula. 

Find the account value at the end of two years to the nearest 1000.(The final answer must be an integer)",91000
444,A manufacturing company has debt repayments of \$500 due at the end of year one and \$1000 due at the end of year four. The company immunizes this debt by matching the Macaulay duration and the present value of the repayments using an annual effective interest rate of 10%. The company purchases financial instruments that yield a cash inflow of \$X immediately and \$Y at the end of year three. Calculate \$X.(The final answer should have 2 decimal places),75.84
445,"In the context of operational risk management for a financial institution, the frequency of operational loss events follows a Poisson distribution with mean \( \lambda \). The severity of each operational loss event follows a lognormal distribution with parameters \( \mu \) and \( \sigma \). The frequency and severity are independent. The prior distributions are mutually independent: 
- \( \lambda \) is uniformly distributed on \( (0, 1) \). 
- \( \mu \) is uniformly distributed on \( (0, 1) \). 
- \( \sigma \) has density \( f(\sigma) = 2\sigma \) for \( 0 < \sigma < 1 \). 

For the compound Poisson model, the process variance is \( \lambda \cdot \mathbf{E}[X^2] \). 
Calculate Bühlmann’s \( K \) for aggregate operational losses.(The final answer should have 2 decimal places)",8.69
446,"You are the pricing actuary for XYZ Property Insurance. You are setting rates for the commercial property coverage, which is a short-term insurance product. You are given the following data:

| Calendar Year | Earned Premium |
| :---: | :---: |
| 2017 | 10,000 |
| 2018 | 12,000 |
| 2019 | 8,000 |

Assume that all policies are one-year policies and that policies are issued uniformly throughout the year. All rate changes apply only to policies issued after the effective date.

The following rate changes have occurred:

| Date | Rate Change |
| :---: | :---: |
| March 17, 2017 | 10% Increase |
| July 1, 2018 | 8% Increase |
| November 1, 2019 | 4% Decrease |

Using the parallelogram method, calculate the earned premium for 2017 based on current rates.
(The final answer should have 2 decimal places)",11055.45
447,"某10年期债券的面值为100元，每年末支付票息，年票息率为5%，可赎回日和赎回值为：
- 第3、4、5年的付息日，赎回值110元；
- 第6、7、8年的付息日，赎回值105元；
- 到期日赎回值105元。
发行人将在所有可能赎回时点中选择对投资者最不利的时点赎回。当投资者的目标年收益率为4%时，计算该投资者愿意支付的最高价格。（结果保留两位小数）",109.19
448,"某家汽车保险公司的汽车索赔次数数据如下表所示（总投保车辆数为119,853）：

| 索赔次数 | 车辆数 |
| :--- | :--- |
| 0 | 103704 |
| 1 | 14075 |
| 2 | 1766 |
| 3 | 255 |
| 4 | 45 |
| 5 | 6 |
| 6 | 2 |
| $7+$ | 0 |

注：7次及以上索赔次数的观测值为0。

假定索赔次数的分布为泊松分布，则索赔次数为 0 次对应的拟合频数为？ （结果保留2位小数）",102643.93
449,"某人在 35 岁时投保了50000元 25 年两全保险，设预定利率为6%，死亡赔付在死亡时刻立即支付，采用死亡均匀分布假设。根据下表换算函数计算趸缴净保费（结果保留整数）：

| 年龄x | $D_x$ | $M_x$ |
|-------|----------|------------|
| 35 | 85018.89 | 7365.0959 |
| 60 | 13303.01 | 1936.5677 |",11111
450,"You are given the following information about F, a participant in a university pension scheme with a Career Average Earnings structure: 
(i) On 1/1/2021, F is 63 years old. 
(ii) F enrolled in the scheme on 1/1/1999. 
(iii) On 1/1/2021, F's total accrued earnings are $2,400,000. 
(iv) F's 2021 salary will be $175,000 if employed the full year. 
(v) Salaries are determined annually on January 1. 
(vi) Contributions are made annually on January 1. 
(vii) Accrual rate: 2%. 
(viii) Normal pension: monthly life annuity-due. 
(ix) Death benefit: 4× annual pension lump sum. 
(x) No other benefits. 

Valuation assumptions: 
- Decrements follow the Standard Service Table: 
$$ 
\begin{array}{c|c|c} 
\text{Age} & l_x & r_x \\ \hline 
63 & 47,579 & 4,515 \\ 
64 & 43,064 & 4,061 \\ 
65 & 38,488 & 38,488 \\ 
\end{array} 
$$ 
- Exits before age 65 occur mid-year. 
- $i=0.05$ 
- $\ddot{a}_{63.5}^{(12)}=13.5139;\ddot{a}_{64.5}^{(12)}=13.2312;\ddot{a}_{65}^{(12)}=13.0870$ 
- Funding method: Traditional Unit Credit. 

Calculate the Actuarial Liability for F's age retirement pension on 1/1/2021.(The final answer should have 2 decimal places)",571359.97
451,"某汽车保险的奖惩系统有三个折扣等级：0%（无折扣，最低等级），15%，30%（最高等级）。转移规则如下： 
(1) 若保单持有人上一年无索赔，续保时上升一个等级或保持在最高等级； 
(2) 若一年中有1次索赔，续保时下降一个等级或保持在最低等级； 
(3) 若一年中有超过1次索赔，续保时直接降至最低等级。 
假设每份保单的索赔次数服从参数为0.2的泊松分布，保险公司有1000份保单，全额保费为1000元。此外，保险公司设有20%的分保比例，但分保不影响保费计算。求稳定状态下年保费收入。单位是元。（结果保留整数）",741850
452,"某年金在第一个10年内每年末给付1400元,在第二个10年每年末支付1600元,在第三个10年每年末支付200元. 已知 \((1+i)^{10} = 2\),则该年金的现值为多少元。(结果保留2位小数)",15675.07
453,"已知保险公司某业务累积已报案赔款流量三角形如表1所示, 与之相对应的累积已报案案件数流量三角形如表2所示。

表 1累积已报案赔款 单位：千元
<table><tr><td rowspan=""2"">事故年</td><td colspan=""7"">发展年</td></tr><tr><td>0</td><td>1</td><td>2</td><td>3</td><td>4</td><td>5</td><td>6 +</td></tr><tr><td>2004</td><td>1361</td><td>2837</td><td>4044</td><td>4934</td><td>5783</td><td>6190</td><td>6305</td></tr><tr><td>2005</td><td>1268</td><td>2654</td><td>3803</td><td>4747</td><td>5318</td><td>5824</td><td/></tr><tr><td>2006</td><td>1095</td><td>2285</td><td>3236</td><td>4164</td><td>4928</td><td/><td/></tr><tr><td>2007</td><td>1388</td><td>2837</td><td>4214</td><td>5326</td><td/><td/><td/></tr><tr><td>2008</td><td>2264</td><td>4583</td><td>6837</td><td/><td/><td/><td/></tr><tr><td>2009</td><td>3472</td><td>7116</td><td/><td/><td/><td/><td/></tr><tr><td>2010</td><td>4592</td><td/><td/><td/><td/><td/><td/></tr></table>

表 2累积已报案案件数 单位：件
<table><tr><td rowspan=""2"">事故年</td><td colspan=""7"">发展年</td></tr><tr><td>0</td><td>1</td><td>2</td><td>3</td><td>4</td><td>5</td><td>6 +</td></tr><tr><td>2004</td><td>350</td><td>706</td><td>996</td><td>1190</td><td>1386</td><td>1462</td><td>1484</td></tr><tr><td>2005</td><td>298</td><td>614</td><td>866</td><td>1074</td><td>1194</td><td>1288</td><td/></tr><tr><td>2006</td><td>234</td><td>478</td><td>672</td><td>860</td><td>996</td><td/><td/></tr><tr><td>2007</td><td>288</td><td>584</td><td>854</td><td>1074</td><td/><td/><td/></tr><tr><td>2008</td><td>438</td><td>876</td><td>1286</td><td/><td/><td/><td/></tr><tr><td>2009</td><td>656</td><td>1316</td><td/><td/><td/><td/><td/></tr><tr><td>2010</td><td>826</td><td/><td/><td/><td/><td/><td/></tr></table>

下面采用已报案案均赔款法, 估计保险公司截至 2010 年末的未决赔款准备金为多少千元。(结果保留整数)",33086
454,"A 16-year loan of \( L \) is repaid with payments of 100 at the end of each year for the first eight years and 300 at the end of each year for the final eight years. The annual effective interest rate \( i \) satisfies \( \frac{1}{(1+i)^8} = 0.5 \). Immediately after the first payment is made, the outstanding principal (including accrued interest) is \( L + 25 \). Calculate the outstanding balance immediately after the eighth payment.(The final answer must be an integer)",1657
455,"For a fully discrete whole life insurance of 100,000 on (60), you are given:
(i) The valuation premium in the first year is the same as under the full preliminary term method.
(ii) The valuation premium in years 21 and later is the level net annual premium from year 21 onward and payable for life.
(iii) The valuation premium in years 2-20 is level.
(iv) The following values:
\[
{\ddot{a}}_{60} = 14.3561,\quad {\ddot{a}}_{80} = 9.6749,\quad {q}_{60} = 0.00901,\quad {}_{20}{q}_{60} = 0.30265
\]
(v) \( i = 0.05 \)
(vi) Select-and-ultimate mortality table:
\[
\begin{array}{c|c}
x & q_x \\ \hline
60 & 0.00901 \\
61 & 0.00987 \\
\vdots & \vdots \\
79 & 0.03000 \\
80 & 0.03327 \\
\end{array}
\]
Calculate the level net annual premium in years 2-20.(The final answer should have 2 decimal places)",2328.22
456,"The annual net contribution for a fully discrete death benefit of 1 payable at the end of the year of death in a pension plan at \( i = 0.055 \) is 0.0805.

Assume that deaths are uniformly distributed between integral ages, and use this assumption to adjust between discrete and continuous present values.

Calculate the net contribution per year payable quarterly for a death benefit of 1 payable at the moment of death.(The final answer should have 3 decimal places)",0.087
457,有一项责任保险索赔支付序列，在5年内的每半年之末支付一笔款项。第一次支付额为2000元，以后每次付款额为其前一次的98%。年利率为半年转换8.08%，求此支付序列10年的终值是多少元。（结果保留2位小数）,32910.98
